string,int,int,#units,{true;false},{missing;basic},kEUR/h/unit_on,{true;false},[p.u.],{true;false},[p.u.],[p.u.]
name,year,partition,initial_units,unit_commitment,unit_commitment_method,units_on_cost,unit_commitment_integer,min_operating_point,ramping,max_ramp_up,max_ramp_down
NO_E_ENS,2050,1,1,FALSE,,,FALSE,,FALSE,,
NO_Wind_Onshore,2050,1,1,FALSE,,,FALSE,,FALSE,,
NO_Wind_Offshore,2050,1,1,FALSE,,,FALSE,,FALSE,,
NO_Solar,2050,1,1,FALSE,,,FALSE,,FALSE,,
ES_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
ES_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
ES_Wind_Offshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
ES_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
ES_Hydro,2050,4,1,FALSE,,,FALSE,,FALSE,,
ES_Nuclear,2050,4,1,FALSE,,,FALSE,,FALSE,,
ES_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
PT_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
PT_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
PT_Wind_Offshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
PT_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
PT_Hydro,2050,4,1,FALSE,,,FALSE,,FALSE,,
PT_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
IT_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
IT_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
IT_Wind_Offshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
IT_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
IT_Hydro,2050,4,1,FALSE,,,FALSE,,FALSE,,
IT_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
IT_OCGT,2050,4,1,FALSE,,,FALSE,,FALSE,,
MT_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
MT_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
MT_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
SI_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
SI_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
SI_Wind_Offshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
SI_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
SI_Hydro,2050,4,1,FALSE,,,FALSE,,FALSE,,
SI_Nuclear,2050,4,1,FALSE,,,FALSE,,FALSE,,
SI_Coal,2050,4,1,FALSE,,,FALSE,,FALSE,,
SI_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
SI_OCGT,2050,4,1,FALSE,,,FALSE,,FALSE,,
HU_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
HU_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
HU_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
HU_Hydro,2050,4,1,FALSE,,,FALSE,,FALSE,,
HU_Nuclear,2050,4,1,FALSE,,,FALSE,,FALSE,,
HU_Gas,2050,4,1,FALSE,,,FALSE,,FALSE,,
HU_OCGT,2050,4,1,FALSE,,,FALSE,,FALSE,,
SK_E_ENS,2050,4,1,FALSE,,,FALSE,,FALSE,,
SK_Wind_Onshore,2050,4,1,FALSE,,,FALSE,,FALSE,,
SK_Solar,2050,4,1,FALSE,,,FALSE,,FALSE,,
SK_Hydro,2050,4,1,FALSE,,,FALSE,,FALSE,,
