string,string,MW,string,degrees,degrees
name,type,capacity,technology,lat,lon
IT_E_ENS,producer,71136.5182,ENS,41.8719,12.5674
IT_Wind_Onshore,producer,38210,Wind_Onshore,41.8719,12.5674
IT_Wind_Offshore,producer,18500,Wind_Offshore,41.8719,12.5674
IT_Solar,producer,236134,Solar,41.8719,12.5674
IT_Hydro,producer,15846,Hydro,41.8719,12.5674
IT_Gas,producer,41910,Gas,41.8719,12.5674
IT_OCGT,producer,4320,Gas,41.8719,12.5674
MT_E_ENS,producer,623.6784,ENS,35.9375,14.3754
MT_Solar,producer,374,Solar,35.9375,14.3754
MT_Gas,producer,450,Gas,35.9375,14.3754
SI_E_ENS,producer,3143.9856,ENS,46.1512,14.9955
SI_Wind_Onshore,producer,7554,Wind_Onshore,46.1512,14.9955
SI_Wind_Offshore,producer,3200,Wind_Offshore,46.1512,14.9955
SI_Solar,producer,35948,Solar,46.1512,14.9955
SI_Hydro,producer,312,Hydro,46.1512,14.9955
SI_Nuclear,producer,1100,Nuclear,46.1512,14.9955
SI_Coal,producer,575,Coal,46.1512,14.9955
SI_Gas,producer,2282,Gas,46.1512,14.9955
SI_OCGT,producer,1126,Gas,46.1512,14.9955
HU_E_ENS,producer,12134.8298,ENS,47.1625,19.5033
HU_Wind_Onshore,producer,3000,Wind_Onshore,47.1625,19.5033
HU_Solar,producer,23396,Solar,47.1625,19.5033
HU_Hydro,producer,64,Hydro,47.1625,19.5033
HU_Nuclear,producer,2360,Nuclear,47.1625,19.5033
HU_Gas,producer,3070,Gas,47.1625,19.5033
HU_OCGT,producer,154,Gas,47.1625,19.5033
SK_E_ENS,producer,6358.4868,ENS,48.669,19.699
SK_Wind_Onshore,producer,2000,Wind_Onshore,48.669,19.699
SK_Solar,producer,5000,Solar,48.669,19.699
SK_Hydro,producer,1446,Hydro,48.669,19.699
SK_Nuclear,producer,3096,Nuclear,48.669,19.699
SK_Coal,producer,251,Coal,48.669,19.699
SK_Gas,producer,1341,Gas,48.669,19.699
LT_E_ENS,producer,2850.6005,ENS,55.1694,23.8813
LT_Wind_Onshore,producer,5650,Wind_Onshore,55.1694,23.8813
LT_Wind_Offshore,producer,7600,Wind_Offshore,55.1694,23.8813
