,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,active,year,commission_year,investable,investment_integer,investment_limit,initial_units,peak_demand,consumer_balance_sense,is_seasonal,storage_inflows,initial_storage_units,initial_storage_level,energy_to_power_ratio,storage_method_energy,investment_limit_storage_energy,investment_integer_storage_energy,use_binary_storage_method,max_energy_timeframe_partition,min_energy_timeframe_partition,unit_commitment,unit_commitment_method,units_on_cost,unit_commitment_integer,min_operating_point,ramping,max_ramp_up,max_ramp_down
IT_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
MT_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SI_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
HU_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
SK_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
LT_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
LV_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
EE_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
FI_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
HR_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
GR_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
BG_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
RO_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
CY_E_Balance,true,2030,2030,false,false,,0,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
NL_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
NL_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
NL_Wind_Offshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
NL_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
NL_Gas,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
NL_OCGT,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
BE_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
BE_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
BE_Wind_Offshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
BE_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
BE_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
BE_Gas,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
BE_OCGT,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
DE_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
DE_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
DE_Wind_Offshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
DE_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
DE_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
DE_Coal,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
DE_Gas,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
DE_OCGT,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
FR_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
FR_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
FR_Wind_Offshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
FR_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
FR_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
FR_Nuclear,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
FR_Gas,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
FR_OCGT,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
DK_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
DK_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
DK_Wind_Offshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
DK_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
DK_Gas,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
DK_OCGT,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
UK_E_ENS,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
UK_Wind_Onshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
UK_Wind_Offshore,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
UK_Solar,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
UK_Hydro,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
UK_Nuclear,true,2030,2030,false,false,,1,0,,false,0,0,,0,false,,false,,,,false,,0.0,false,0.0,false,,
