,,,,,,,,,,,,,
name,type,group,investment_method,capacity,technical_lifetime,economic_lifetime,discount_rate,capacity_storage_energy,country,technology,lat,lon
CY_E_Balance,hub,,none,0.0,1.0,1.0,0.0,0.0,CY,Balance,35.1264,33.4299
NL_E_ENS,producer,,none,21291.22,1.0,1.0,0.0,0.0,NL,E_ENS,52.1326,5.2913
NL_Wind_Onshore,producer,,none,7976.0,1.0,1.0,0.0,0.0,NL,Wind_Onshore,52.1326,5.2913
NL_Wind_Offshore,producer,,none,11470.0,1.0,1.0,0.0,0.0,NL,Wind_Offshore,52.1326,5.2913
NL_Solar,producer,,none,27264.0,1.0,1.0,0.0,0.0,NL,Solar,52.1326,5.2913
NL_Gas,producer,,none,10615.0,1.0,1.0,0.0,0.0,NL,Gas,52.1326,5.2913
NL_OCGT,producer,,none,628.0,1.0,1.0,0.0,0.0,NL,OCGT,52.1326,5.2913
BE_E_ENS,producer,,none,14380.34,1.0,1.0,0.0,0.0,BE,E_ENS,50.8503,4.3517
BE_Wind_Onshore,producer,,none,4669.0,1.0,1.0,0.0,0.0,BE,Wind_Onshore,50.8503,4.3517
BE_Wind_Offshore,producer,,none,5800.0,1.0,1.0,0.0,0.0,BE,Wind_Offshore,50.8503,4.3517
BE_Solar,producer,,none,10400.0,1.0,1.0,0.0,0.0,BE,Solar,50.8503,4.3517
BE_Hydro,producer,,none,1372.0,1.0,1.0,0.0,0.0,BE,Hydro,50.8503,4.3517
BE_Gas,producer,,none,8731.0,1.0,1.0,0.0,0.0,BE,Gas,50.8503,4.3517
BE_OCGT,producer,,none,294.0,1.0,1.0,0.0,0.0,BE,OCGT,50.8503,4.3517
DE_E_ENS,producer,,none,90152.0,1.0,1.0,0.0,0.0,DE,E_ENS,51.1657,10.4515
DE_Wind_Onshore,producer,,none,75372.0,1.0,1.0,0.0,0.0,DE,Wind_Onshore,51.1657,10.4515
DE_Wind_Offshore,producer,,none,23296.0,1.0,1.0,0.0,0.0,DE,Wind_Offshore,51.1657,10.4515
