,,,p.u.
profile_name,year,period,value
CH_Pump_Hydro_Open_Min_Storage_Level,2050,39,0.7897195679999985
CH_Pump_Hydro_Open_Min_Storage_Level,2050,40,0.8016793529999982
CH_Pump_Hydro_Open_Min_Storage_Level,2050,41,0.8137637189999978
CH_Pump_Hydro_Open_Min_Storage_Level,2050,42,0.8257235050000004
CH_Pump_Hydro_Open_Min_Storage_Level,2050,43,0.8147603679999987
CH_Pump_Hydro_Open_Min_Storage_Level,2050,44,0.8037972319999971
CH_Pump_Hydro_Open_Min_Storage_Level,2050,45,0.7928340950000021
CH_Pump_Hydro_Open_Min_Storage_Level,2050,46,0.7818709590000019
CH_Pump_Hydro_Open_Min_Storage_Level,2050,47,0.7534664690000019
CH_Pump_Hydro_Open_Min_Storage_Level,2050,48,0.7250619790000021
CH_Pump_Hydro_Open_Min_Storage_Level,2050,49,0.6966574890000024
CH_Pump_Hydro_Open_Min_Storage_Level,2050,50,0.6520574569999988
CH_Pump_Hydro_Open_Min_Storage_Level,2050,51,0.6049658019999988
CH_Pump_Hydro_Open_Min_Storage_Level,2050,52,0.5579987290000009
CH_Pump_Hydro_Open_Min_Storage_Level,2050,53,0.5
FR_Hydro_Reservoir_Min_Storage_Level,2050,1,0.32000000000000023
FR_Hydro_Reservoir_Min_Storage_Level,2050,2,0.3040000000000004
FR_Hydro_Reservoir_Min_Storage_Level,2050,3,0.28799999999999903
FR_Hydro_Reservoir_Min_Storage_Level,2050,4,0.2730000000000008
FR_Hydro_Reservoir_Min_Storage_Level,2050,5,0.25699999999999995
FR_Hydro_Reservoir_Min_Storage_Level,2050,6,0.23999999999999988
FR_Hydro_Reservoir_Min_Storage_Level,2050,7,0.22299999999999956
FR_Hydro_Reservoir_Min_Storage_Level,2050,8,0.20499999999999913
FR_Hydro_Reservoir_Min_Storage_Level,2050,9,0.18799999999999956
FR_Hydro_Reservoir_Min_Storage_Level,2050,10,0.17699999999999966
FR_Hydro_Reservoir_Min_Storage_Level,2050,11,0.17299999999999924
FR_Hydro_Reservoir_Min_Storage_Level,2050,12,0.16799999999999948
FR_Hydro_Reservoir_Min_Storage_Level,2050,13,0.1640000000000005
FR_Hydro_Reservoir_Min_Storage_Level,2050,14,0.1619999999999998
FR_Hydro_Reservoir_Min_Storage_Level,2050,15,0.17599999999999932
FR_Hydro_Reservoir_Min_Storage_Level,2050,16,0.19000000000000056
FR_Hydro_Reservoir_Min_Storage_Level,2050,17,0.20400000000000046
FR_Hydro_Reservoir_Min_Storage_Level,2050,18,0.21800000000000044
FR_Hydro_Reservoir_Min_Storage_Level,2050,19,0.24099999999999971
FR_Hydro_Reservoir_Min_Storage_Level,2050,20,0.26599999999999885
FR_Hydro_Reservoir_Min_Storage_Level,2050,21,0.2909999999999991
FR_Hydro_Reservoir_Min_Storage_Level,2050,22,0.3160000000000008
FR_Hydro_Reservoir_Min_Storage_Level,2050,23,0.3560000000000012
FR_Hydro_Reservoir_Min_Storage_Level,2050,24,0.41700000000000115
FR_Hydro_Reservoir_Min_Storage_Level,2050,25,0.47699999999999954
FR_Hydro_Reservoir_Min_Storage_Level,2050,26,0.5379999999999979
FR_Hydro_Reservoir_Min_Storage_Level,2050,27,0.5930000000000023
FR_Hydro_Reservoir_Min_Storage_Level,2050,28,0.6050000000000006
FR_Hydro_Reservoir_Min_Storage_Level,2050,29,0.6159999999999998
FR_Hydro_Reservoir_Min_Storage_Level,2050,30,0.6269999999999988
FR_Hydro_Reservoir_Min_Storage_Level,2050,31,0.6380000000000018
FR_Hydro_Reservoir_Min_Storage_Level,2050,32,0.6380000000000018
FR_Hydro_Reservoir_Min_Storage_Level,2050,33,0.6359999999999989
FR_Hydro_Reservoir_Min_Storage_Level,2050,34,0.6340000000000002
FR_Hydro_Reservoir_Min_Storage_Level,2050,35,0.6310000000000001
FR_Hydro_Reservoir_Min_Storage_Level,2050,36,0.628
FR_Hydro_Reservoir_Min_Storage_Level,2050,37,0.6230000000000012
FR_Hydro_Reservoir_Min_Storage_Level,2050,38,0.6189999999999999
FR_Hydro_Reservoir_Min_Storage_Level,2050,39,0.614000000000001
FR_Hydro_Reservoir_Min_Storage_Level,2050,40,0.6080000000000008
FR_Hydro_Reservoir_Min_Storage_Level,2050,41,0.5949999999999991
FR_Hydro_Reservoir_Min_Storage_Level,2050,42,0.5810000000000018
FR_Hydro_Reservoir_Min_Storage_Level,2050,43,0.5669999999999978
FR_Hydro_Reservoir_Min_Storage_Level,2050,44,0.5540000000000012
FR_Hydro_Reservoir_Min_Storage_Level,2050,45,0.5270000000000008
