year,rep_period,num_timesteps,resolution
2050,1,168,1.0
2050,2,168,1.0
2050,3,168,1.0
2050,4,168,1.0
2050,5,168,1.0
2050,6,168,1.0
2050,7,168,1.0
2050,8,168,1.0
2050,9,24,1.0
